"","Average Tee To Green","Average Driving Distance","Average SG: Putting","Average Approach the Green","Average Off The Tee","Average SG: Around The Green","Scoring Average","Rank","Height","Weight","Sand Saves","Bunkers","Hit Fairway"
"Justin Thomas",2.615,282.4,-0.19,2.715,-0.114,0.013,70.66,50,178,72,9,16,52
"Xander Schauffele",2.333,280.4,1.341,1.188,0.716,0.43,69.93,15,178,79,16,25,47
"Talor Gooch",2.103,290.7,-0.083,1.582,0.521,0,70.309,29,183,91,6,10,42
"Gary Woodland",2.017,296.2,0.557,1.173,0.69,0.153,69.538,7,185,88,11,29,82
"Sam Ryder",1.886,296.4,0.804,1.179,0.311,0.396,70.383,32,188,79,26,38,82
"Luke List",1.811,318,0.855,0.456,1.376,-0.021,69.612,11,188,86,11,15,60
"Jon Rahm",1.763,283.6,-0.589,1.006,0.839,-0.082,71.409,111,188,99,8,13,46
"Patrick Cantlay",1.748,323.3,0.543,0.457,0.89,0.401,69.304,5,183,86,10,22,68
"Lucas Glover",1.653,302.1,0.082,0.636,0.545,0.472,69.572,9,188,88,6,12,132
"Webb Simpson",1.536,276.3,0.289,1.282,0.079,0.175,69.674,12,188,84,7,14,117
"Kevin Kisner",1.507,280.9,0.903,0.936,0.838,-0.267,69.758,14,178,75,4,7,36
"J.B. Holmes",1.44,292.1,0.668,0.103,0.317,1.02,70.496,36,180,86,20,27,25
"Rickie Fowler",1.435,291.4,1.04,0.923,0.605,-0.094,68.857,2,175,68,1,7,34
"D.J. Trahan",1.409,307.3,-0.145,0.874,0.448,0.087,70.237,26,191,84,5,11,61
"Corey Conners",1.385,293.1,-0.662,0.238,0.67,0.478,70.916,70,183,86,10,20,109
"Kevin Tway",1.384,312.4,0.285,0.367,0.394,0.623,70.98,74,191,84,15,24,105
"Rory McIlroy",1.322,294.1,0.352,0.346,1.185,-0.209,72.284,178,178,73,7,10,39
"Emiliano Grillo",1.309,296.8,-0.702,1.537,0.259,-0.486,70.495,35,175,64,12,18,32
"Ryan Palmer",1.293,318.8,0.681,0.869,-0.206,0.63,70.06,19,180,79,15,26,29
"Dustin Johnson",1.269,296.8,0.406,-0.207,0.373,1.102,71.409,111,193,86,4,5,40
"Joaquin Niemann",1.258,302.7,-0.776,0.568,0.619,0.071,71.163,87,183,69,13,28,92
"Bill Haas",1.241,292.5,0.401,-0.146,0.28,1.107,70.724,55,188,84,8,15,75
"Keith Mitchell",1.055,281.9,1.086,-1.928,1.298,1.685,71.171,89,185,84,13,24,11
"Aaron Baddeley",1.05,287.4,-0.375,0.807,-0.058,0.302,70.387,33,183,80,4,12,76
"Fred Couples",1.042,291.1,-0.434,0.455,0.138,0.448,71.393,109,180,84,7,9,32
"Ryan Moore",1.026,298,0.765,0.801,0.297,-0.072,71.673,135,175,77,13,30,75
"Ian Poulter",1.008,273.4,-1.083,0.22,0.456,0.332,71.458,115,185,86,14,18,48
"Sungjae Im",0.97,302.9,0.182,0.199,0.767,0.004,70.551,41,183,90,14,29,118
