,Average Tee To Green,Average Driving Distance,Average SG: Putting,Average Approach the Green,Average Off The Tee,Average SG: Around The Green,Scoring Average,Rank,Height,Weight,Sand Saves,Bunkers,Hit Fairway
Talor Gooch,2.203,296,0.296,1.652,0.28,0.271,69.459,6,183,91,13,20,101
Justin Thomas,2.156,297.1,-0.063,2.071,-0.029,0.114,70.054,15,178,72,14,25,79
Chez Reavie,1.894,294.2,-0.152,1.318,0.179,0.396,70.426,31,175,73,22,42,93
Keith Mitchell,1.883,289.7,-0.747,0.31,0.719,0.854,70.872,62,185,84,20,40,49
Tony Finau,1.873,318,-0.518,0.418,0.605,0.851,69.184,3,193,91,17,30,61
Justin Rose,1.775,308.4,0.869,0.704,0.37,0.701,68.948,2,191,88,15,22,37
Patrick Cantlay,1.716,315.6,0.021,0.722,0.543,0.451,69.81,10,183,86,12,29,90
Lucas Glover,1.683,299.9,0.138,0.739,0.487,0.457,69.711,9,188,88,6,15,149
Luke List,1.668,315.9,0.451,0.324,1.285,0.059,70.483,34,188,86,18,28,90
Rory McIlroy,1.653,305.8,0.102,0.229,1.206,0.218,71.283,102,178,73,12,18,65
Xander Schauffele,1.635,289.3,1.263,0.745,0.463,0.427,70.051,14,178,79,21,33,66
Gary Woodland,1.613,302,0.033,1.107,0.479,0.027,69.853,12,185,88,17,43,132
Jon Rahm,1.576,296,-0.141,0.371,1.102,0.103,70.355,25,188,99,14,25,96
Webb Simpson,1.536,276.3,0.289,1.282,0.079,0.175,69.674,7,188,84,7,14,117
Hideki Matsuyama,1.529,308.4,-0.054,1.131,0.214,0.185,70.279,20,180,90,21,34,51
Corey Conners,1.51,296.1,-0.381,0.539,0.636,0.334,70.511,35,183,86,19,34,150
Phil Mickelson,1.42,315.3,0.308,0.341,0.326,0.753,69.457,5,191,91,6,12,36
Cameron Smith,1.342,298.8,0.848,1.262,-0.133,0.213,70.543,39,180,78,16,31,54
D.J. Trahan,1.313,303.1,-0.424,0.854,0.503,-0.044,70.698,53,191,84,6,16,70
Emiliano Grillo,1.293,298.1,-0.77,1.358,0.24,-0.304,70.435,32,175,64,19,36,93
Kevin Tway,1.27,307.4,0.015,0.255,0.37,0.644,71.014,77,191,84,21,36,134
Dustin Johnson,1.269,296.8,0.406,-0.207,0.373,1.102,71.409,114,193,86,4,5,40
Ryan Palmer,1.262,305.2,0.056,1.197,-0.115,0.18,70.621,45,180,79,21,39,58
Bill Haas,1.11,288.5,-0.267,0.036,0.188,0.885,71.393,110,188,84,15,28,102
Ian Poulter,1.099,290.1,-0.756,-0.031,0.411,0.719,70.903,66,185,86,17,25,84
Abraham Ancer,1.099,296.9,0.283,0.252,0.773,0.074,70.415,30,170,70,20,38,104
Matt Kuchar,1.089,291.6,0.048,0.829,0.248,0.012,69.444,4,193,88,7,12,131
Aaron Baddeley,1.011,287.4,0.191,0.575,0.099,0.338,70.408,29,183,80,6,15,95
Marc Leishman,0.987,297.3,0.743,0.806,0.117,0.064,69.81,10,188,91,23,38,100
Matt Every,0.964,289.8,0.708,0.705,0.214,0.044,69.684,8,180,86,9,14,68
Charles Howell III,0.958,297.5,0.586,0.286,0.559,0.113,70.313,22,180,70,21,41,157
Sungjae Im,0.956,301.7,0.206,0.23,0.755,-0.029,70.381,27,183,90,21,52,199
Joaquin Niemann,0.901,298.5,-1.232,0.681,0.428,-0.207,71.698,146,183,69,21,46,121
Daniel Berger,0.859,295.3,-1.004,0.435,0.704,-0.279,71.195,94,185,79,3,7,30
Keegan Bradley,0.847,290.6,-0.936,0.582,0.058,0.207,70.847,60,191,86,14,23,112
Chesson Hadley,0.814,298.2,0.077,1.024,0.005,-0.215,71.849,152,193,73,17,32,82
Ryan Moore,0.807,292.8,0.854,0.604,0.34,-0.137,71.96,156,175,77,16,35,87
Davis Love III,0.784,298.5,-0.314,1.133,-0.602,0.252,70.573,41,191,79,14,24,103
Austin Cook,0.76,283.1,-1.019,1.127,0.324,-0.691,70.632,48,170,73,16,30,55
