"","Average Tee To Green","Average Driving Distance","Average SG: Putting","Average Approach the Green","Average Off The Tee","Average SG: Around The Green","Scoring Average","Rank","Height","Weight","Sand Saves","Bunkers","Hit Fairway"
"Justin Thomas",2.219,300.5,0.181,2.085,0.065,0.069,69.641,7,178,72,17,30,107
"Hideki Matsuyama",1.986,312.8,-0.406,1.337,0.381,0.268,70.07,16,180,90,24,40,80
"Gary Woodland",1.785,305.4,-0.001,0.965,0.719,0.1,69.709,8,185,88,19,47,169
"Justin Rose",1.775,308.4,0.869,0.704,0.37,0.701,68.948,2,191,88,15,22,37
"Tyrrell Hatton",1.758,308,0.006,-0.755,0.809,1.704,70.344,28,175,73,17,23,31
"Patrick Cantlay",1.716,315.6,0.021,0.722,0.543,0.451,69.81,10,183,86,12,29,90
"Rory McIlroy",1.653,305.8,0.102,0.229,1.206,0.218,71.283,100,178,73,12,18,65
"Byeong Hun An",1.619,315.1,-0.104,0.887,-0.448,1.179,70.97,67,188,95,19,27,30
"Emiliano Grillo",1.517,298.6,-0.863,1.104,0.495,-0.082,70.379,30,175,64,26,46,125
"Corey Conners",1.513,293.9,-0.452,0.539,0.655,0.319,70.701,52,183,86,24,41,159
"Webb Simpson",1.492,280.6,0.251,1.32,-0.212,0.384,69.627,6,188,84,11,20,147
"Phil Mickelson",1.49,304.4,0.279,0.954,0.3,0.236,69.266,3,191,91,10,21,62
"Jon Rahm",1.47,300.5,0.143,0.403,0.892,0.176,70.081,19,188,99,16,31,129
"Chez Reavie",1.427,289.2,0.31,0.944,0.312,0.172,70.277,24,175,73,30,59,155
"Lucas Glover",1.385,296.1,0.141,0.686,0.387,0.313,69.853,13,188,88,6,19,185
"Branden Grace",1.355,295.1,0.059,0.679,0.42,0.256,71.441,122,178,78,16,28,56
"Tony Finau",1.35,310.5,-0.441,0.291,0.389,0.671,69.81,10,193,91,22,42,91
"Xander Schauffele",1.32,296.7,1.256,0.518,0.224,0.578,69.873,14,178,79,29,44,96
"Luke List",1.311,317.2,0.328,0.437,1.01,-0.135,70.642,50,188,86,18,30,101
"D.J. Trahan",1.294,299.4,-0.083,0.692,0.559,0.043,70.584,45,191,84,14,26,88
"Matt Kuchar",1.264,290.6,0.293,0.756,0.347,0.161,69.464,5,193,88,15,23,190
"Talor Gooch",1.211,295.3,0.336,0.932,0.149,0.129,70.073,18,183,91,18,28,123
"Bubba Watson",1.192,306.1,-1.363,0.537,1.114,-0.459,71.77,151,191,82,6,11,97
"Jim Furyk",1.19,272.5,-0.451,0.751,0.272,0.167,69.938,15,188,84,4,8,59
"Sungjae Im",1.18,299.7,0.258,0.361,0.643,0.176,70.393,32,183,90,27,64,236
"Cameron Smith",1.144,300.5,0.891,1.171,-0.274,0.248,70.325,27,180,78,21,37,81
"Kevin Tway",1.138,308.8,-0.04,0.161,0.409,0.568,71.049,82,191,84,22,43,149
